BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
LOS ANGELES,CA,2012,15963551,9938436,1.61,1,4895014,5043422,71.64,9.28,1.47,48.12,326586,19.1,52929,25.95,19.75,26.2,28.05,21,69.69,27.83,10.73,0.03
LOS ANGELES,CA,2011,15691254,9876727,1.59,1,4864955,5011772,71.76,9.31,1.47,47.99,340483,18.4,52239,25.95,19.75,26.2,28.05,21.3,69.56,28.08,12.17,0.03
LOS ANGELES,CA,2009,14418442.5,9831945,1.47,1,4884420,4947525,73.86,9.28,1.05,47.6,376777,16,54375,25.95,19.75,26.2,28.05,21.5,69.31,28.57,11.6,0.04
LOS ANGELES,CA,2010,14145124,9818605,1.44,1,4839654,4978951,71.87,9.38,1.49,47.74,363182,17.6,52595,25.95,19.75,26.2,28.05,21.3,69.44,28.32,12.5,0.04
LOS ANGELES,CA,2008,13732484.5,9771522,1.41,1,4850989,4920533,73.86,9.36,1.04,47.24,351757,15.3,55452,25.95,19.75,26.2,28.05,20.9,69.19,28.82,7.58,0.04
LOS ANGELES,CA,2007,13561927.5,9727968,1.39,1,4826136,4901832,73.87,9.49,1.04,46.89,351757,14.6,53494,25.95,19.75,26.2,28.05,20.4,67.68,30.52,5.12,0.04
CHARLESTON,SC,2012,12648967,364628,34.69,4,176608,188020,67.07,29.46,0.45,5.1,21576,18,48200,13.75,22.75,27.15,36.3,25,50.39,48.01,7.13,0.06
MARICOPA,AZ,2011,12408569,3875065,3.2,2,1915546,1959519,85.26,5.47,2.63,29.71,161100,17.4,50785,15.2,22.95,33.2,28.65,22.6,43.84,54.53,8.56,0.04
HARRIS,TX,2007,11912542,3909859,3.05,2,1953342,1956517,73.99,18.5,0.58,37.99,188110.75,16.3,49977,22.45,22.45,26.4,28.7,26,48.98,50.3,4.08,0.05
MARICOPA,AZ,2012,11910768,3948225,3.02,2,1952422,1995803,84.93,5.58,2.66,29.9,159723,17.4,51442,15.2,22.95,33.2,28.65,22.2,43.75,54.48,7.29,0.04
LOS ANGELES,CA,2006,11391232,9755937,1.17,1,4836454,4919483,73.93,9.6,1.04,46.72,351757,15.4,51279,25.95,19.75,26.2,28.05,19.6,66.16,32.22,4.78,0.04
MARICOPA,AZ,2010,10769670,3817117,2.82,2,1888465,1928652,85.62,5.39,2.61,29.57,168043,16.6,50424,15.2,22.95,33.2,28.65,22.8,43.94,54.58,9.52,0.04
CHARLESTON,SC,2011,10265604,357315,28.73,4,172925,184390,66.86,29.75,0.46,5.18,21812,19.1,49432,13.75,22.75,27.15,36.3,26.2,51.18,47.31,8.32,0.06
MARICOPA,AZ,2009,10088297,4019885,2.51,2,2023224,1996661,87.57,4.76,2.53,31.28,184166,15.1,53284,15.2,22.95,33.2,28.65,23.7,44.03,54.64,9.11,0.05
HARRIS,TX,2010,9699100,4092459,2.37,2,2037405,2055054,71.31,19.5,1.14,40.84,200372,18.7,50437,22.45,22.45,26.4,28.7,28.5,49.92,49.06,8.29,0.05
HARRIS,TX,2009,9682332,4074423,2.38,2,2040951,2033472,74.03,18.22,0.6,39.3,207539,17.1,50577,22.45,22.45,26.4,28.7,28.8,50.19,48.94,6.434,0.05
HARRIS,TX,2011,9624050,4179796,2.3,2,2078299,2101497,71.16,19.49,1.12,41.24,177530,19.4,50924,22.45,22.45,26.4,28.7,28.2,49.66,49.19,7.86,0.04
MARICOPA,AZ,2008,9254909,3960221,2.34,2,1993192,1967029,87.82,4.65,2.5,30.87,168258,13.4,56511,15.2,22.95,33.2,28.65,23.1,44.12,54.69,5.37,0.04
HARRIS,TX,2006,9085770,3856396,2.36,2,1924339,1932057,73.78,18.87,0.57,37.13,188110.75,16.4,47159,22.45,22.45,26.4,28.7,24.1,47.51,51.78,5.18,0.05
HARRIS,TX,2008,9070716,3981948,2.28,2,1992213,1989735,74.03,18.33,0.59,38.69,188110.75,15.3,52391,22.45,22.45,26.4,28.7,26.7,50.45,48.82,6.434,0.05
CHARLESTON,SC,2009,8944955,353949,25.27,4,171204,182745,65.57,31.33,0.34,4,23585,16.4,46145,13.75,22.75,27.15,36.3,27.5,52.76,45.91,8.75,0.07
CHARLESTON,SC,2010,8347390,350209,23.84,4,169871,180338,66.64,30.02,0.46,5.39,23566,18.7,46187,13.75,22.75,27.15,36.3,27.7,51.97,46.61,8.79,0.07
CLARK,NV,2011,8226290,1962010,4.19,3,985491,976519,73.66,11.18,1.15,29.51,117394,16.8,48343,17.6,29.35,32.75,20.3,24.9,56.93,41.23,13.23,0.06
MARICOPA,AZ,2007,8212032,3873280,2.12,1,1948336,1924944,88.12,4.53,2.45,30.29,168258,12.9,54733,15.2,22.95,33.2,28.65,22.5,43.67,55.26,3.26,0.04
HARRIS,TX,2012,8205069,4264193,1.92,1,2120460,2143733,70.94,19.52,1.11,41.45,167002,18.6,51298,22.45,22.45,26.4,28.7,27.4,49.39,49.31,6.76,0.04
CLARK,NV,2010,8200978,1951269,4.2,3,982193,969076,74.1,11.06,1.16,29.14,125166,15,51427,17.6,29.35,32.75,20.3,25.1,57.45,40.65,13.75,0.06
CLARK,NV,2012,8190034,1989693,4.12,3,998917,990776,73.21,11.4,1.16,29.74,108440,16.4,49583,17.6,29.35,32.75,20.3,25.8,56.42,41.82,11.24,0.05
CLARK,NV,2009,7995970,1900064,4.21,3,968746,931318,77.43,10.07,1.13,29.17,133769,12.4,53512,17.6,29.35,32.75,20.3,26.2,57.96,40.06,11.51,0.07
CLARK,NV,2008,7501254,1877110,4,3,957093,920017,77.67,10.01,1.12,28.62,121192.25,11.1,56691,17.6,29.35,32.75,20.3,26,58.47,39.48,6.64,0.06
ALAMEDA,CA,2009,7266865,1489583,4.88,3,736528,753055,56.78,12.6,0.83,21.98,55954,10.8,68258,15.05,18.45,26.65,39.8,20.3,78.78,18.98,10.26,0.04
SAN DIEGO,CA,2012,7156400,3175201,2.25,1,1594714,1580487,76.81,5.57,1.32,32.6,96935,15.1,60235,15.35,19.25,31.95,33.45,20.2,52.58,45.02,9.03,0.03
ALAMEDA,CA,2007,7055820,1447863,4.87,3,715079,732784,57.06,13.04,0.81,21.29,49617.75,11,68263,15.05,18.45,26.65,39.8,19.3,77.91,20.27,4.7,0.03
SAN DIEGO,CA,2011,7052109,3137372,2.25,1,1573536,1563836,76.99,5.56,1.32,32.38,103474,15.2,59290,15.35,19.25,31.95,33.45,22.6,52.97,44.75,10.29,0.03
MARICOPA,AZ,2006,6999206,3776593,1.85,1,1898468,1878125,88.44,4.42,2.39,29.48,168258,12.5,52522,15.2,22.95,33.2,28.65,21.1,43.22,55.83,3.58,0.04
BROWARD,FL,2010,6787538,1748066,3.88,3,846571,901495,66.9,27.39,0.35,25.07,0,14.7,47917,14.7,27.8,29.5,28,24.1,67.16,32.33,9.298865845,0
CLARK,NV,2007,6763066,1836751,3.68,3,935472,901279,78.04,9.93,1.11,28,121192.25,10.7,55960,17.6,29.35,32.75,20.3,24.8,56.77,41.31,4.49,0.07
WAYNE,MI,2012,6566830,1795973,3.66,3,863094,932879,54.51,40.01,0.46,5.47,54607,26.3,39461,18.7,30.4,30.85,20,33.5,73.04,26.21,11.69,0.03
COOK,IL,2012,6512200,5240505,1.24,1,2537909,2702596,65.79,24.83,0.75,24.41,116783,18,52160,18.05,23.85,25.5,32.6,24.9,74,24.63,9.66,0.02
BROWARD,FL,2009,6270900,1765530,3.55,3,867755,897775,68.81,25.76,0.4,24.05,0,13,48772,14.7,27.8,29.5,28,25.4,67.15,32.36,8.737681398,0
WAYNE,MI,2011,6249130,1803100,3.47,3,866182,936918,54.31,40.38,0.46,5.33,54996,26.1,38479,18.7,30.4,30.85,20,34.2,73.31,25.82,12.93,0.03
SAN DIEGO,CA,2010,6136828,3095313,1.98,1,1553679,1541634,77.2,5.58,1.34,32.03,115000,14.8,59759,15.35,19.25,31.95,33.45,23.1,53.36,44.48,10.77,0.04
SAN DIEGO,CA,2009,6109429,3037115,2.01,1,1531882,1505233,79.54,5.69,1.05,31.59,115386,12.5,60103,15.35,19.25,31.95,33.45,23,53.76,44.22,9.38,0.04
CLARK,NV,2006,6067360,1776774,3.41,3,905030,871744,78.52,9.85,1.08,27.09,121192.25,10.5,53472,17.6,29.35,32.75,20.3,23.1,55.06,43.15,4,0.07
COOK,IL,2011,6051939,5219977,1.16,1,2527635,2692342,65.84,25,0.76,24.24,0,17.8,50806,18.05,23.85,25.5,32.6,25.2,74.55,24.18,10.44,0
HILLSBOROUGH,FL,2010,5963950,1229226,4.85,3,599084,630142,76.29,17.28,0.49,24.95,0,16.7,46043,15.5,26.95,29,28.55,26.8,53.01,46.1,9.298865845,0
HILLSBOROUGH,FL,2006,5948309,1157725,5.14,3,569314,588411,78.56,16.28,0.47,21,0,12.8,46751,15.5,26.95,29,28.55,25.6,49.7,49.53,5.072493647,0
RIVERSIDE,CA,2012,5898896,2261967,2.61,2,1125700,1136267,80.91,7,1.86,46.5,58635,17.8,52416,21.95,25.55,33.45,19.05,25.5,49.71,48.06,11.53,0.03
ORANGE,CA,2012,5831646,3080419,1.89,1,1521636,1558783,74.49,2.01,1.07,33.99,82770,13,71866,17.9,17.4,29.75,34.95,19.8,45.65,51.87,7.87,0.03
ORANGE,CA,2011,5755138,3050867,1.89,1,1507651,1543216,74.85,1.99,1.07,33.86,85354,13,72046,17.9,17.4,29.75,34.95,20.7,46.14,51.45,9.03,0.03
COOK,IL,2010,5650695,5194675,1.09,1,2514314,2680361,65.84,25.25,0.77,23.96,135060,16.8,51457,18.05,23.85,25.5,32.6,26.2,75.1,23.73,10.88,0.03
WAYNE,MI,2010,5629370,1820584,3.09,2,874161,946423,54.06,40.79,0.45,5.23,61295,23.9,39421,18.7,30.4,30.85,20,34.3,73.59,25.44,15.47,0.03
SAN DIEGO,CA,2008,5500805,3003793,1.83,1,1513885,1489908,79.68,5.69,1.03,31.08,107698.75,12.6,62820,15.35,19.25,31.95,33.45,21.7,54.15,43.95,6.02,0.04
BROWARD,FL,2008,5460426,1752910,3.12,2,860898,892012,69.22,25.48,0.39,23.46,0,12,51594,14.7,27.8,29.5,28,22.2,67.13,32.39,5.91173503,0
DALLAS,TX,2011,5431762,2408170,2.26,2,1189744,1218426,68.91,22.87,1.14,38.69,104348,20,47335,23.35,22.1,26,28.55,29.2,57.15,41.74,8.13,0.04
HILLSBOROUGH,FL,2009,5335630,1194796,4.47,3,588635,606161,77.6,16.85,0.49,22.47,0,15.2,47129,15.5,26.95,29,28.55,26.2,53.09,46.07,8.737681398,0
SAN BERNARDINO,CA,2012,5225860,2074195,2.52,2,1032013,1042182,77.72,9.61,2.01,50.55,79187,20.4,50603,23.3,25.6,33.25,17.85,28.7,52.47,45.12,11.4,0.04
RIVERSIDE,CA,2011,5225522,2234301,2.34,2,1111654,1122647,81.05,6.97,1.84,46.06,58807,16.9,52491,21.95,25.55,33.45,19.05,25.9,49.84,48.02,13.15,0.03
TARRANT,TX,2011,5220616,1847736,2.83,2,905372,942364,76.45,15.44,0.89,27.06,78596,16.8,52882,16.65,23.65,30.85,28.85,28.6,42,56.7,7.54,0.04
WAYNE,MI,2009,5179080,1924438,2.69,2,930273,994165,55.92,39.38,0.39,4.95,63228,24.2,38256,18.7,30.4,30.85,20,34.2,73.87,25.05,15.7,0.03
DALLAS,TX,2012,5073306,2455921,2.07,1,1212277,1243644,68.59,22.94,1.12,38.85,99562,19.3,47343,23.35,22.1,26,28.55,28,57.11,41.66,7.26,0.04
TARRANT,TX,2012,5069662,1882350,2.69,2,921903,960447,76.12,15.59,0.89,27.35,74435,15.5,56030,16.65,23.65,30.85,28.85,28.1,41.43,57.12,6.64,0.04
ALAMEDA,CA,2011,5001931.4,1530998,3.27,2,750148,780850,52.5,12.97,1.17,22.54,46464,13.2,67295,15.05,18.45,26.65,39.8,20.5,78.83,18.43,10.05,0.03
COOK,IL,2009,4959568,5284796,0.94,1,2577677,2707119,67.27,25.1,0.38,23.15,145409,16,52516,18.05,23.85,25.5,32.6,26.2,75.66,23.27,10.55,0.03
SAN BERNARDINO,CA,2011,4939755,2061040,2.4,2,1024361,1036679,77.75,9.65,2.02,49.97,80723,19.4,51017,23.3,25.6,33.25,17.85,27.7,52.37,45.28,12.84,0.04
RIVERSIDE,CA,2010,4936236,2189641,2.25,1,1089576,1100065,81.23,6.98,1.84,45.45,60141,16.4,53981,21.95,25.55,33.45,19.05,27,49.96,47.98,13.85,0.03
DALLAS,TX,2010,4935048,2368139,2.08,1,1171002,1197137,69.16,22.81,1.16,38.26,112010,19,46909,23.35,22.1,26,28.55,30.3,57.2,41.82,8.59,0.05
PHILADELPHIA,PA,2011,4892470,1540322,3.18,2,727058,813264,45.37,44.71,0.8,12.74,82930,27.9,34433,22.75,33.55,21.2,22.5,30,84.74,14.57,10.68,0.05
ORANGE,CA,2010,4856028,3010232,1.61,1,1488780,1521452,75.3,1.97,1.08,33.65,94081,12.2,70727,17.9,17.4,29.75,34.95,20.4,46.64,51.03,9.74,0.03
ALAMEDA,CA,2012,4820965,1554138,3.1,2,760910,793228,52.22,12.74,1.14,22.54,43270,13.1,70209,15.05,18.45,26.65,39.8,20,78.85,18.16,8.63,0.03
SAN DIEGO,CA,2007,4773690,2960625,1.61,1,1489189,1471436,79.83,5.69,1.03,30.59,107698.75,11.1,61724,15.35,19.25,31.95,33.45,22.2,52.22,46.11,4.55,0.04
ALAMEDA,CA,2010,4772150,1510271,3.16,2,740573,769698,52.94,13.2,1.17,22.51,52783,13.5,66937,15.05,18.45,26.65,39.8,20.7,78.81,18.7,10.9,0.03
ORANGE,CA,2009,4770640,3023265,1.58,1,1511217,1512048,77.59,2.18,0.9,33.22,94727,10.7,71735,17.9,17.4,29.75,34.95,20.6,47.14,50.61,8.65,0.03
WAYNE,MI,2008,4695035,1948984,2.41,2,941412,1007572,55.54,39.83,0.39,4.82,58531.5,20.5,42463,18.7,30.4,30.85,20,33.7,74.14,24.66,9.43,0.03
PHILADELPHIA,PA,2012,4682120,1551797,3.02,2,732911,818886,45.22,44.66,0.81,13.1,87646,26.7,35518,22.75,33.55,21.2,22.5,29.2,85.29,13.97,10.89,0.06
PALM BEACH,FL,2010,4653478,1320134,3.53,3,638888,681246,77.63,17.72,0.65,19,0,14.3,49891,14.15,25.9,28.65,31.25,22.4,59.7,39.73,9.298865845,0
BROWARD,FL,2007,4648868,1746134,2.66,2,856091,890043,69.7,25.13,0.38,22.84,0,11.4,52504,14.7,27.8,29.5,28,20.6,66.4,32.95,4.952953714,0
PALM BEACH,FL,2009,4634610,1278210,3.63,3,624548,653662,78.38,17.29,0.45,17.84,0,14.4,49660,14.15,25.9,28.65,31.25,21.7,60.44,39.01,8.737681398,0
HILLSBOROUGH,FL,2011,4588606,1271110,3.61,3,622244,648866,75.87,17.51,0.52,25.27,0,17.6,46592,15.5,26.95,29,28.55,26.1,52.93,46.12,8.610905865,0
HILLSBOROUGH,FL,2008,4587348,1179411,3.89,3,580537,598874,77.94,16.63,0.48,22.08,0,13.9,49762,15.5,26.95,29,28.55,26.1,53.18,46.05,5.91173503,0
BROWARD,FL,2011,4568525,1786955,2.56,2,867286,919669,66.22,27.93,0.36,25.85,0,14.9,48478,14.7,27.8,29.5,28,24.7,67.18,32.3,8.610905865,0
TARRANT,TX,2010,4567450,1809034,2.52,2,887235,921799,76.78,15.26,0.91,26.7,87299,14.4,52482,16.65,23.65,30.85,28.85,27.9,42.58,56.27,8.13,0.05
COOK,IL,2006,4560410,5235914,0.87,1,2549090,2686824,66.89,25.9,0.37,22.2,99313,15.4,50682,18.05,23.85,25.5,32.6,23.1,73.23,25.98,4.87,0.02
ORANGE,CA,2008,4560149,2988541,1.53,1,1492613,1495928,77.87,2.14,0.88,32.72,89233,9.9,74862,17.9,17.4,29.75,34.95,18.8,47.63,50.19,5.31,0.03
COOK,IL,2008,4553870,5255543,0.87,1,2562063,2693480,67.13,25.37,0.37,22.82,99313,14.8,54559,18.05,23.85,25.5,32.6,25.2,76.21,22.82,6.43,0.02
RIVERSIDE,CA,2009,4549864,2121839,2.14,1,1066574,1055265,83.5,6.6,1.39,44.96,67300,13.9,55151,21.95,25.55,33.45,19.05,27.6,50.09,47.94,13.11,0.03
SUFFOLK,NY,2011,4537970,1498838,3.03,2,737726,761112,86.06,8.03,0.56,17.05,37049,6.9,83360,11.85,29.85,27.1,31.25,22.3,49.92,42.76,7.61,0.02
SUFFOLK,NY,2010,4489620,1493350,3.01,2,734668,758682,86.27,7.97,0.54,16.49,36669,6.6,81235,11.85,29.85,27.1,31.25,24.7,50.8,44.03,7.73,0.02
HILLSBOROUGH,FL,2007,4487898,1169019,3.84,3,575135,593884,78.25,16.46,0.48,21.59,0,11.6,50485,15.5,26.95,29,28.55,25.2,51.44,47.79,4.952953714,0
DALLAS,TX,2009,4448158,2454898,1.81,1,1233330,1221568,72.35,20.82,0.69,38.01,120478,18.7,46044,23.35,22.1,26,28.55,30.7,57.24,41.9,6.726,0.05
FRANKLIN,OH,2009,4409842,1149657,3.84,3,561119,588538,73.79,20.18,0.27,4.15,30038,18.4,47460,11.85,26.05,26.85,35.25,30.9,59.96,38.7,8.48,0.03
SAN DIEGO,CA,2006,4359527,2933959,1.49,1,1476176,1457783,79.94,5.74,1.03,30.08,107698.75,11.7,59279,15.35,19.25,31.95,33.45,20.6,50.3,48.27,3.96,0.04
FRANKLIN,OH,2011,4343846,1180741,3.68,3,574609,606132,70.85,21.83,0.32,4.86,28424,18.8,47174,11.85,26.05,26.85,35.25,29.5,60.43,38.12,7.75,0.02
COOK,IL,2007,4342969,5234780,0.83,1,2549524,2685256,66.99,25.65,0.37,22.48,99313,14.6,52554,18.05,23.85,25.5,32.6,23.5,74.72,24.4,5.25,0.02
KING,WA,2011,4302704,1974084,2.18,1,982436,991648,71.66,6.52,1.05,9.01,75029,12.1,68596,8.5,17.35,28.95,45.15,22.2,69.38,28.43,7.92,0.04
PHILADELPHIA,PA,2010,4294422,1526006,2.81,2,719813,806193,45.67,44.7,0.79,12.29,90748,26.4,34667,22.75,33.55,21.2,22.5,30.6,84.19,15.16,10.58,0.06
FRANKLIN,OH,2010,4272180,1163414,3.67,3,566499,596915,71.33,21.58,0.33,4.79,27512,18.8,47621,11.85,26.05,26.85,35.25,30.3,60.19,38.41,8.88,0.02
ORANGE,CA,2007,4227175,2957307,1.43,1,1475709,1481598,78.17,2.1,0.88,32.21,89233,8.9,73107,17.9,17.4,29.75,34.95,18.5,45.49,52.59,3.89,0.03
SUFFOLK,NY,2009,4202180,1516784,2.77,2,747081,769703,86.72,8.11,0.37,14.01,36941,5.7,82984,11.85,29.85,27.1,31.25,25.6,51.68,45.29,7.28,0.02
SACRAMENTO,CA,2012,4184845,1445078,2.9,2,706969,738109,65.26,10.92,1.56,22.01,42701,19.5,52617,14.85,22.7,35.1,27.35,26.6,58.15,39.19,10.33,0.03
SAN BERNARDINO,CA,2010,4147414,2035210,2.04,1,1011507,1023703,77.91,9.67,2.01,49.19,87579,18.1,52270,23.3,25.6,33.25,17.85,28.2,52.27,45.44,13.54,0.04
KING,WA,2012,4131760,2011323,2.05,1,1001341,1009982,71.11,6.61,1.05,9.1,57787,11.9,68944,8.5,17.35,28.95,45.15,22.3,69.07,28.51,6.32,0.03
KING,WA,2010,4118160,1931249,2.13,1,962090,969159,72.33,6.43,1.05,8.93,73165,12.2,66147,8.5,17.35,28.95,45.15,22.5,69.69,28.34,9.02,0.04
SAN BERNARDINO,CA,2009,4110846,2011728,2.04,1,1015526,996202,80.35,9,1.44,47.9,92672,17,52137,23.3,25.6,33.25,17.85,28.1,52.17,45.59,12.65,0.05
WAYNE,MI,2007,4102230,1981433,2.07,1,956533,1024900,55.17,40.3,0.39,4.7,58531.5,20.8,42529,18.7,30.4,30.85,20,33.2,72.95,25.95,8.24,0.03
FRANKLIN,OH,2008,4097640,1135715,3.61,3,554136,581579,73.93,20.1,0.28,3.93,28702.5,15.1,51246,11.85,26.05,26.85,35.25,30.9,59.73,38.99,5.51,0.03
TARRANT,TX,2008,4080406,1752262,2.33,2,867580,884682,79.17,14.11,0.71,25.6,82738.75,12.1,56265,16.65,23.65,30.85,28.85,26.8,43.73,55.43,6.252,0.05
DALLAS,TX,2008,4079070,2412994,1.69,1,1211580,1201414,72.41,20.87,0.67,37.32,109099.5,17.3,47155,23.35,22.1,26,28.55,28.3,57.28,41.98,6.726,0.05
PINELLAS,FL,2011,4022264,918380,4.38,3,441025,477355,83.84,10.71,0.37,8.26,0,15,42761,12.65,29.1,31.75,26.5,24,52.58,46.28,8.610905865,0
KING,WA,2009,4021210,1922645,2.09,1,962317,960328,74.58,6.15,1.09,7.95,79704,9.8,67706,8.5,17.35,28.95,45.15,22.4,69.99,28.26,8.04,0.04
TARRANT,TX,2009,4007600,1792181,2.24,1,887293,904888,78.96,14.24,0.72,26.19,90625,14.5,53757,16.65,23.65,30.85,28.85,27.8,43.16,55.85,6.252,0.05
DALLAS,TX,2007,3964128,2381889,1.66,1,1194340,1187549,72.43,20.98,0.67,36.53,109099.5,16.9,46468,23.35,22.1,26,28.55,27.1,55.2,44.07,4.38,0.05
ALLEGHENY,PA,2009,3963430,1219306,3.25,2,584748,634558,83.86,12.41,0.16,1.56,47082,13,46212,9.8,31.15,24.9,34.15,28.6,57.14,41.89,6.79,0.04
PINELLAS,FL,2010,3960370,916542,4.32,3,440009,476533,84.15,10.54,0.37,7.99,0,14.2,42628,12.65,29.1,31.75,26.5,23.8,52.92,45.97,9.298865845,0
PHILADELPHIA,PA,2009,3948250,1549564,2.55,2,729118,820446,48.63,43.75,0.33,11.31,84982,24.5,36959,22.75,33.55,21.2,22.5,31.5,83.65,15.76,9.75,0.05
PHILADELPHIA,PA,2008,3945230,1540351,2.56,2,723628,816723,48.36,44.13,0.32,11.03,86576.5,23.8,37090,22.75,33.55,21.2,22.5,30.2,83.1,16.35,7.08,0.06
ORANGE,FL,2010,3934064,1145956,3.43,3,564326,581630,70.11,21.72,0.54,26.9,0,16.4,45105,15,25.45,30.15,29.4,25.7,58.84,40.41,9.298865845,0
ALLEGHENY,PA,2012,3931820,1230881,3.19,2,591398,639483,81.43,13.34,0.15,1.73,47452,12.7,50831,9.8,31.15,24.9,34.15,25.8,56.69,42.12,6.95,0.04
FRANKLIN,OH,2007,3931262,1121922,3.5,3,547185,574737,74.17,19.98,0.27,3.73,28702.5,16.2,48076,11.85,26.05,26.85,35.25,30.2,58.38,40.52,4.72,0.03
SACRAMENTO,CA,2010,3922368,1418788,2.76,2,694793,723995,65.92,10.97,1.55,21.58,49596,16.7,52655,14.85,22.7,35.1,27.35,27.7,58.32,39.33,12.64,0.03
MARION,IN,2011,3913275,911188,4.29,3,438724,472464,67.21,27.45,0.5,9.41,54768,21.3,39957,16.4,28.8,27.25,27.55,31.3,61.14,37.37,9.89,0.06
ALLEGHENY,PA,2011,3891390,1228183,3.17,2,589161,639022,81.67,13.33,0.15,1.65,45178,13.4,49682,9.8,31.15,24.9,34.15,26.6,56.84,42.04,7.09,0.04
ORANGE,FL,2011,3887818,1170526,3.32,2,575815,594711,69.73,21.92,0.54,27.64,0,18.5,44635,15,25.45,30.15,29.4,25.2,58.76,40.42,8.610905865,0
FRANKLIN,OH,2012,3879430,1199071,3.24,2,583923,615148,70.45,22.03,0.32,4.94,28836,18,50053,11.85,26.05,26.85,35.25,29.2,60.66,37.83,6.43,0.02
SACRAMENTO,CA,2011,3866478,1433739,2.7,2,701723,732016,65.49,10.97,1.55,21.8,46935,17.7,52236,14.85,22.7,35.1,27.35,26.9,58.23,39.26,12.05,0.03
BEXAR,TX,2011,3865370,1755340,2.2,1,861294,894046,85.85,8.01,1.23,59.01,71733,17.9,46589,19.7,24.85,30.5,25,30.1,51.77,46.99,7.17,0.04
ALLEGHENY,PA,2008,3858800,1218453,3.17,2,583130,635323,83.95,12.43,0.16,1.47,46143.75,12.4,48778,9.8,31.15,24.9,34.15,27.1,57.29,41.81,4.82,0.04
SUFFOLK,NY,2012,3854260,1497037,2.57,2,737090,759947,85.86,8.11,0.56,17.31,37188,7.4,85717,11.85,29.85,27.1,31.25,22.8,49.04,41.49,7.8,0.02
MARION,IN,2012,3853630,919700,4.19,3,442863,476837,66.85,27.61,0.48,9.53,47914,21.6,41586,16.4,28.8,27.25,27.55,32.1,60.26,38.02,9.28,0.05
KING,WA,2008,3852830,1885368,2.04,1,942399,942969,74.96,6.08,1.08,7.69,71421.25,9.2,70091,8.5,17.35,28.95,45.15,21.7,70.3,28.17,3.87,0.04
BEXAR,TX,2012,3843790,1789091,2.15,1,879205,909886,85.63,8.11,1.23,59.14,75837,19.1,49651,19.7,24.85,30.5,25,28.2,51.56,47.04,6.49,0.04
KING,WA,2007,3832934,1857877,2.06,1,926562,931315,75.4,6,1.06,7.36,71421.25,9.9,66969,8.5,17.35,28.95,45.15,20.5,68.96,29.55,3.19,0.04
SACRAMENTO,CA,2009,3818196,1399663,2.73,2,687128,712535,69.77,10.21,1.21,20.67,54215,15.3,52502,14.85,22.7,35.1,27.35,28.3,58.41,39.4,11.02,0.04
JEFFERSON,KY,2011,3804360,746412,5.1,3,360082,386330,74.06,21.24,0.27,4.48,38902,17.3,45407,14.25,28.1,29.2,28.55,32,55,43.66,9.47,0.05
CHARLESTON,SC,2008,3772480,348574,10.82,4,168593,179981,65.3,31.65,0.35,3.87,22634.75,15.4,50213,13.75,22.75,27.15,36.3,25.9,53.55,45.21,5.31,0.06
TARRANT,TX,2007,3757100,1712219,2.19,1,847245,864974,79.35,14.02,0.7,24.97,82738.75,12.2,53518,16.65,23.65,30.85,28.85,26.1,42.05,57.17,4.1,0.05
MILWAUKEE,WI,2011,3752340,951263,3.94,3,459515,491748,65.65,27.32,0.9,13.53,78394,21.8,40780,16.2,28.8,28.15,26.85,31.2,67.44,31.45,9.28,0.08
SUFFOLK,NY,2008,3726120,1513318,2.46,2,745408,767910,86.94,7.99,0.36,13.57,36961.75,5.6,85091,11.85,29.85,27.1,31.25,24.7,52.56,46.56,5.01,0.02
ORANGE,CA,2006,3726111,2952610,1.26,1,1472101,1480509,78.53,2.07,0.88,32.03,89233,9.8,70109,17.9,17.4,29.75,34.95,17.8,43.34,54.99,3.4,0.03
BROWARD,FL,2006,3721678,1761685,2.11,1,861820,899865,70.09,24.86,0.37,22.15,0,11.2,50399,14.7,27.8,29.5,28,19.3,65.67,33.5,5.072493647,0
SACRAMENTO,CA,2008,3721031,1386082,2.68,2,680772,705310,69.97,10.25,1.2,20.34,48361.75,13.3,56882,14.85,22.7,35.1,27.35,26.7,58.49,39.47,7.23,0.03
SAN BERNARDINO,CA,2008,3718460,2001225,1.86,1,1009463,991762,80.5,9.02,1.42,47.43,85040.25,14.7,54768,23.3,25.6,33.25,17.85,28.6,52.07,45.75,8.03,0.04
PIMA,AZ,2011,3713925,988407,3.76,3,486208,502199,86.07,3.96,4.16,35.03,58899,20.4,44102,14.2,22.9,33.75,29.15,22.1,52.59,45.88,8.48,0.06
MILWAUKEE,WI,2012,3708925,954606,3.89,3,461098,493508,65.46,27.31,0.92,13.77,81907,22.5,42434,16.2,28.8,28.15,26.85,31,67.49,31.45,8.63,0.09
ALLEGHENY,PA,2010,3707090,1223348,3.03,2,585650,637698,81.93,13.34,0.15,1.56,44863,11.9,47490,9.8,31.15,24.9,34.15,27.3,56.99,41.97,7.58,0.04
RIVERSIDE,CA,2008,3695833,2087348,1.77,1,1049223,1038125,83.69,6.58,1.38,44.46,61220.75,12.6,57590,21.95,25.55,33.45,19.05,26.2,50.21,47.9,8.58,0.03
